supplier_name,supplier_address,supplier_address_is_internal_manufacturing_site
3M Company,Guangdong China mainland,yes
3M Company,Jiangsu China mainland,yes
3M Company,Shanghai China mainland,yes
3M Company,Yamagata Japan,yes
3M Company,Gyeonggi-Do South Korea,yes
3M Company,Alabama United States,yes
3M Company,Iowa United States,yes
3M Company,Minnesota United States,yes
3M Company,Ohio United States,yes
3M Company,South Carolina United States,yes
3M Company,Wisconsin United States,yes
AAC Acoustic Technologies Holdings Incorporated,Guangdong China mainland,yes
AAC Acoustic Technologies Holdings Incorporated,Jiangsu China mainland,yes
Advanced Semiconductor Engineering Incorporated,Guangdong China mainland,yes
Advanced Semiconductor Engineering Incorporated,Jiangsu China mainland,yes
Advanced Semiconductor Engineering Incorporated,Yamagata Japan,yes
Advanced Semiconductor Engineering Incorporated,Gyeonggi-Do South Korea,yes
Advanced Semiconductor Engineering Incorporated,Singapore,yes
Advanced Semiconductor Engineering Incorporated,Kaohsiung Taiwan,yes
Advanced Semiconductor Engineering Incorporated,Taoyuan Taiwan,yes
AGC Incorporated
AKM Meadville Electronics (Xiamen) Company Limited
Alpha and Omega Semiconductor Limited
Alps Alpine Company Limited
Amkor Technology Incorporated
Amphenol Corporation
ams AG
Analog Devices Incorporated
Asia Vital Components Company Limited
AT & S Austria Technologie & Systemtechnik AG
Auras Technology Company Limited
Biel Crystal Manufactory Limited
BOE Technology Group Company Limited
Boyd Corporation
Broadcom Limited
Bumchun Precision Company Limited
BYD Company Limited
Career Technology (Mfg) Company Limited
Catcher Technology Company Limited
Cheng Uei Precision Industry Company Limited (Foxlink)
Chengdu Homin Technology Company Limited
China Circuit Technology (Shantou) Corporation
CN Innovations Holdings Limited
Compal Electronics Incorporated
Compeq Manufacturing Company Limited
Concraft Holding Company Limited
Consumer HK Holdco II Limited
Corning Incorporated
Cosmosupplylab Limited
Cowell E Holdings Incorporated
CymMetrik Enterprise Company Limited
Delta Electronics Incorporated
Derkwoo Electronics Company Limited
Dexerials Corporation
Diodes Incorporated
Dynapack International Technology Corporation
Flex Limited
Flexium Interconnect Incorporated
Foster Electric Company Limited
Fujian Nanping Aluminium Company Limited
Fujikura Limited
Future Hi Tech Company Limited
General Interface Solution Limited
Genius Electronic Optical Company Limited
Global Lighting Technologies
GoerTek Incorporated
Golden Arrow Printing Company Limited
Hama Naka Shoukin Industry Company Limited
Henkel AG & Company KGaA
Hi-P International Limited
Hirose Electric Company Limited
Hitachi Limited
Hon Hai Precision Industry Company Limited (Foxconn)
IDEMIA Group
IDEMIA Group (continued)
II-VI Incorporated
INB Electronics Limited
Infineon Technologies AG
Intel Corporation
Inventec Corporation
J.Pond Industry (Dongguan) Company Limited
Jabil Incorporated
Japan Aviation Electronics Industry Limited
Japan Display Incorporated
JCET Group Company Limited
JCET Group Company Limited (continued)
Jiangsu Gian Technology Company Limited
Jinlong Machinery and Electronics Company Limited
Jones Tech PLC
JXTG Holdings Incorporated
Kam Kiu Aluminium Products Group Limited
Kinsus Interconnect Technology Corporation
Kioxia Holdings Corporation
Knowles Corporation
Kunshan Kersen Science and Technology Company Limited
Kyocera Corporation
Largan Precision Company Limited
Lens Technology Company Limited
LG Chem Limited
LG Display Company Limited
LG Innotek Company Limited
Lingyi iTech (Guangdong) Company
Lingyi iTech (Guangdong) Company (continued)
Lite-On Technology Corporation
Longwell Company
LOTES Company Limited
Luen Fung Group
Lumileds Holding B.V.
Luxshare Precision Industry Company Limited
Marian Incorporated
Maxim Integrated Products Incorporated
Microchip Technology Incorporated
Micron Technology Incorporated
MinebeaMitsumi Incorporated
MinebeaMitsumi Incorporated (continued)
Molex Incorporated
Murata Manufacturing Company Limited
MYS Group Company Limited
Nanofilm Technologies International Private Limited
Nanya Technology Corporation
Nexperia B.V.
NGK Spark Plug Company Limited
Nichia Corporation
Nidec Corporation
Nissha Company Limited
Nitto Denko Corporation
NOK Corporation
NXP Semiconductors N.V.
OFILM Group Company Limited
ON Semiconductor Corporation
Paishing Technology Company
Panasonic Corporation
Pegatron Corporation
