supplier_name,supplier_address,supplier_address_is_internal_manufacturing_site
3M Company,"No. 235, Zhongyuan Road, Suzhou, Jiangsu, China",True
3M Company,"5500 Oaza Osanagi, Higashine, Yamagata, Japan",True
3M Company,"577 Keumeui-ri, Jangan-myon, Hwaseong, Gyeonggi-Do, South Korea",True
3M Company,"No. 312, Section 1, Huan Dong Road, Sinshih Township, Tainan, Taiwan",True
3M Company,"1400 State Docks Road, Decatur, Alabama, United States",True
3M Company,"1400 Perimeter Road, Greenville, South Carolina, United States",True
3M Company,"South Building, 915 Adams Street, Hutchinson, Minnesota, United States",True
3M Company,"3406 East Pleasant Street, Knoxville, Iowa, United States",True
3M Company,"1030 Lake Road, Medina, Ohio, United States",True
3M Company,"1425 Stokke Parkway, Menomonie, Wisconsin, United States",True
AAC Technologies Holdings Inc.,"No. 66, Yanghuxi Road, Wujin District, Changzhou, Jiangsu, China",True
AAC Technologies Holdings Inc.,"No. 8, Fengqi Road, High Tech. Industry Development Area, Wujin District, Changzhou, Jiangsu, China",True
AAC Technologies Holdings Inc.,"Building 5, 6th floor, Nanyou Tianan Industry Park, Dengliang Road, Nanshan District, Shenzhen, Guangdong, China",True
Acbel Polytech Inc.,"No. 17-28 Hongyeh Road, Hongyeh Industrial District, Tangxia Town, Dongguan, Guangdong, China",True
Advanced Micro Devices Inc.,"No. 88 Sutong Road Suzhou Industrial Park, Suzhou, Jiangsu, China",True
Advanced Micro Devices Inc.,"AMD Export Sdn. Bhd. Phase 3, Free Industrial Zone, Bayan Lepas, Penang, Malaysia",True
Advanced Semiconductor Engineering Inc.,"No. 1558, Zhang Dong Road, Zhangjiang Hi-Tech Park, Shanghai, China",True
Advanced Semiconductor Engineering Inc.,"No. 501, Longgui Road, Jinqiao Export Processing (South) Zone, Pudong New Area, Shanghai, China",True
Advanced Semiconductor Engineering Inc.,"76, Saneopdanji-gil, Paju, Gyeonggi-Do, South Korea",True
Advanced Semiconductor Engineering Inc.,"1F, No. 550, Chung-Hwa Road, Section 1, Chungli, Taoyuan, Taiwan",True
Advanced Semiconductor Engineering Inc.,"1F, No. 115, Nei-Huan North Road, Nantze Export Processing Zone, Kaohsiung, Taiwan",True
Advanced Semiconductor Engineering Inc.,"No. 107, Neihuan North Road, Nanzi District, Kaohsiung, Taiwan",True
Advanced Semiconductor Engineering Inc.,"No. 26, Chin 3rd Road, Nantze Export Processing Zone, Kaohsiung, Taiwan",True
Advanced Semiconductor Engineering Inc.,"No. 73 Kai Fa Road, Nantze Export Processing Zone, Kaohsiung, Taiwan",True
"Alps Electric Co., Ltd.","No. 5, Xingchuang 4 Road, Singapore Industrial Park, Wuxi, Jiangsu, China",True
"Alps Electric Co., Ltd.","1-3-5 Higashi Takami, Nagaoka, Niigata, Japan",True
"Alps Electric Co., Ltd.","6-3-36 Furukawa Nakazato, Sendai, Miyagi, Japan",True
"Alps Electric Co., Ltd.","230, Shibue, Wakuya-cho, Tohda-gun, Miyagi, Japan",True
Amphenol Corp.,"No. 98-5, Road 19, Hangzhou Economic and Technological Development Zone, Hangzhou, Zhejiang, China",True
Amphenol Corp.,"No. 689 Shen Nan Road, Xin Zhuang Industry Park, Shanghai, China",True
Amphenol Corp.,"Block A3/A4, The 4th Ind. District of Industrial Headquarters, Dongkeng Road, Gongming Town, Shenzhen, Guangdong, China",True
Amphenol Corp.,"825 Old Trail Road, Etters, Pennsylvania, United States",True
ams AG,"Tobelbaderstrasse 30, Unterpremstaetten, Styria, Austria",True
ams AG,"B2-1D Carmelray Industrial Park II, Barangay Tulo, Calamba, Laguna, Philippines",True
ams AG,"26 Woodlands Loop, Level 1, Singapore",True
Analog Devices Inc.,"Bay F-1, Raheen Industrial Estate, Limerick, Ireland",True
Analog Devices Inc.,"Gateway Business Park, Javalera, Gen. Trias, Cavite, Philippines",True
Artesyn Embedded Technologies,"No. 68, Baocheng East Road, Fucheng Town, Luoding, YunFu, Guangdong, China",True
Artesyn Embedded Technologies,"Main Avenue Corner Road J, PEZA Complex, Rosario, Cavite, Philippines",True
