supplier_name,supplier_address,supplier_address_is_internal_manufacturing_site
3M Company,"905 Adams Street, Hutchinson, Minnesota, United States",True
3M Company,"5500 Oaza Osanagi, Higashine, Yamagata, Japan",True
3M Company,"3406 E. Pleasant Street, Knoxville, Iowa, United States",True
3M Company,"235 Zhongyuan Road, Suzhou, Jiangsu, China",True
3M Company,"18 Jangan-Gongdan 1 Gil, Jangan-myeon, Hwaseong, Gyeonggi-Do, Korea",True
3M Company,"1425 Stokke Parkway, Menomonie, Wisconsin, United States",True
3M Company,"1030 Lake Road, Medina, Ohio, United States",True
AAC Technologies Holdings Incorporated,"No. 8, Fengqi Road, Hi-Tech. Industry Development Area, Wujin District, Changzhou, Jiangsu, China",True
AAC Technologies Holdings Incorporated,"No. 66 Yanghuxi Road, Wujin District, Changzhou, Jiangsu, China",True
AAC Technologies Holdings Incorporated,"Building 5, 6th floor, Nanyou Tianan Industry Park, Dengliang Road, NanShan District, Shenzhen, Guangdong, China",True
Advanced Semiconductor Engineering Incorporated,"No. 2, Chuangyi South Road, Nanzi District, Kaohsiung, Taiwan",True
Advanced Semiconductor Engineering Incorporated,"No. 501 Longgui Road, Jinqiao Export Processing (South) Zone, Shanghai, China",True
Advanced Semiconductor Engineering Incorporated,"No. 188, Su Hong Xi Road, Suzhou Industrial Park, Suzhou, Jiangsu, China",True
Advanced Semiconductor Engineering Incorporated," No. 1558, Zhang Dong Road, Zhangjiang Hi-Tech Park, Shanghai, China",True
Advanced Semiconductor Engineering Incorporated," No. 107, Neihuan North Road, Nanzi District, Kaohsiung, Taiwan",True
Advanced Semiconductor Engineering Incorporated,"76, Saneopdanji-gil, Paju, Gyeonggi-Do, Korea",True
Advanced Semiconductor Engineering Incorporated,"73 Kai Fa Road, Nantze Export Processing Zone, Kaohsiung, Taiwan",True
Advanced Semiconductor Engineering Incorporated,"1F, No. 115 Nei-Huan North Road, Nantze Export Processing Zone, Kaohsiung, Taiwan",True
Advanced Semiconductor Engineering Incorporated,"1F, 550, Chung-Hwa Road, Section 1, Chungli, Taoyuan, Taiwan",True
Alps Electric Company Limited,"XinXing Industry Zone, XingFa South Street, WuShaLiWu, Changan Town, Dongguan, Guangdong, China",True
Alps Electric Company Limited,"P.T. 10643, Nilai Industrial Estate, Nilai, Negeri Sembilan, Malaysia",True
Alps Electric Company Limited,"No. 5, Xingchuang 4 Road, Singapore Industrial Park, Wuxi, Jiangsu, China",True
Alps Electric Company Limited,"6-3-36 Furukawa Nakazato, Osaki, Miyagi, Japan",True
Alps Electric Company Limited,"6-1 Nishida, Kakuda, Miyagi, Japan",True
Alps Electric Company Limited,"41-25, Yanagi-machi, Noda Onahama, Iwaki, Fukushima, Japan",True
Alps Electric Company Limited,"230, Shibue, Wakuya-cho, Tohda-gun, Miyagi, Japan",True
Alps Electric Company Limited,"1-3-5 Higashi Takami, Nagaoka, Niigata, Japan",True
Amkor Technology Incorporated,"No. 39 GuangFu North Road, Hsinchu Industrial Park, Hsinchu, Taiwan",True
Amkor Technology Incorporated,"No. 111, Yinglun Road Waigaoqiao Free Trade Zone, Shanghai, China",True
Amkor Technology Incorporated,"No. 11 GuangFu Road, Hsinchu Industrial Park, Hsinchu, Taiwan",True
Amkor Technology Incorporated,"Mirae-ro 150, Songdo, Incheon, Korea",True
Amkor Technology Incorporated,"957 Daechon-dong, Buk-gu, Gwangju, Jeollabuk-do, Korea",True
Amkor Technology Incorporated,"1F, No. 1 Kao-Ping Section, Chung-Feng Road, Lung Tan Township, Taoyuan, Taiwan",True
Amkor Technology Incorporated,"145-1, Aza-Nakajima, Nanae-cho, Kameda, Hokkaido, Japan",True
Amkor Technology Incorporated,"119 North Science Avenue, Special Economic Zone, Laguna Techno Park, Binan, Laguna, Philippines",True
Amkor Technology Incorporated,"110 Anaji-ro, Gyeyang-gu, Incheon, Korea",True
Amkor Technology Incorporated,"11 Guangfu Road, Hsinchu Industrial ParkHukou County, Hsinchu, Taiwan",True
Amkor Technology Incorporated,"1 Ohmaki, Harue-Cho, Harue, Fukui, Japan",True
Amphenol Corporation,"No. 98-5, Road 19, Hangzhou Economic and Technological Development Zone, Hangzhou, Zhejiang, China",True
Amphenol Corporation,"No. 689 Shen Nan Road, Xin Zhuang Industry Park, Shanghai, China",True
Amphenol Corporation,"Block A3/A4, The 4th Ind. District of Industrial Headquarters, DongKeng Road, GongMing Town, Shenzhen, Guangdong, China",True
Amphenol Corporation,"825 Old Trail Road, Etters, Pennsylvania, United States",True
ams AG,"Tobelbaderstrasse 30, Premstaetten, Styria, Austria",True
ams AG,"B2-1D Carmelray Industrial Park II, Barangay Tulo, Calamba, Laguna, Philippines",True
ams AG,"7000 Ang Mo Kio Avenue 5, Singapore",True
ams AG,"26 Woodlands Loop, Level 1, Singapore",True
Analog Devices Incorporated,"Gateway Business Park, Javalera, Gen. Trias, Cavite, Philippines",True
Artesyn Embedded Technologies Incorporated,"No. 68, Baocheng E. Road, Fucheng Town, Luoding, YunFu, Guangdong, China",True
Artesyn Embedded Technologies Incorporated,"Main Avenue Corner Road J, PEZA Complex, Rosario, Cavite, Philippines",True
Artesyn Embedded Technologies Incorporated,"1st Building, Emerson Industrial Park, FengTang Road, Fuyong, Bao'an District, Shenzhen, Guangdong, China",True
Asahi Glass Company Limited,"SAHA Group Industrial Park Lamphun 99/39 Moo 5, T. Pasak, Muang Lamphun, Lamphun, Thailand",True
Asahi Glass Company Limited,"BE-2400 Mol, Brussels, Belgium",True
Asahi Glass Company Limited,"5-6-1, Umei, Takasago, Hyogo, Japan",True
Asahi Glass Company Limited,"11 Qisan Road, Haitian Industrial Garden, Shenzhen Export Processing District, Pingshan New Zone, Shenzhen, Guangdong, China",True
Asahi Glass Company Limited,"10 Goikaigan, Ichihara, Chiba, Japan",True
Asahi Glass Company Limited,"1-8 Machiikedai, Koriyama, Fukushima, Japan",True
Asia Vital Components Company Limited,"West Industry Park, XinYang Industrial Zone, Shajing Town, Bao'an District, Shenzhen, Guangdong, China",True
Asia Vital Components Company Limited,"No. 9 Longquan Road, Fuzuling Street, East Lake High-tech Zone, Wuhan, Hubei, China",True
Asia Vital Components Company Limited,"No. 5, Lane 8, RongJiang Road, Songjiang Export Processing Zone, Shanghai, China",True
Asia Vital Components Company Limited,"No. 188, Building 9, Jinxi Zhenjin Road, Kunshan, Jiangsu, China",True
AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,"No. 58 Changhe Road, Yuzui Town, Jiangbei District, Chongqing, China",True
AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,"No. 5000 Jin Du Road, Shanghai, China",True
Biel Crystal Manufactory Limited,"Yang Na Village, Dan Shui Street, Huiyang Distrcit, Huizhou, Guangdong, China",True
Biel Crystal Manufactory Limited,"Biel Crystal Industrial Park, TangJing Village, Baishi, QiuChang Town, Huiyang District, Huizhou, Guangdong, China",True
BOE Technology Group Company Limited,"No. 668 Longzihu Road, Heifei, Anhui, China",True
Brady Corporation,"No. 116 Hua Ning Road, Dalang Street, Shenzhen, Guangdong, China",True
Brady Corporation,"Building A/B, Aavid High-tech Industrial Park, Xinshi Community, Dalang Town, Longhua District, Shenzhen, Guangdong, China",True
Brady Corporation,"8 XinDu Road, Singapore Industrial Park, Wuxi, Jiangsu, China",True
Broadcom Limited,"Fab 12A, No. 18 NanKe 2nd Road, Tainan Science Park, Tainan, Taiwan",True
Broadcom Limited,"4380 Ziegler Road, Fort Collins, Colorado, United States",True
Broadcom Limited,"110 American Parkway NE, Allentown, Pennsylvania, United States",True
Bumchun Precision Company Limited,"26, Byeolmang-ro 128beon-gil, Danwon-gu (Sihwa Industrial Complex 5Ba 103), Ansan, Gyeonggi-Do, Korea",True
BYD Electronic (International) Company Limited,"Xiangshui River, Economic Development Zone, Daya Bay, Huizhou, Guangdong, China",True
BYD Electronic (International) Company Limited,"No. 1, BaoPing Road, Baolong Industrial Town, Long Gang, Shenzhen, Guangdong, China",True
Career Technology (Mfg.) Company Limited,"No. 18 Jin Sha Jiang South Road, Kunshan, Jiangsu, China",True
Career Technology (Mfg.) Company Limited,"248 Bo'ai Street, Shulin District, Taipei, Taiwan",True
Catcher Technology Company Limited,"XiangTai Road west side, Lion River south side, Economic Development Zone, Taizhou, Jiangsu, China",True
Catcher Technology Company Limited,"No. 21, Gucheng Road, Suzhou-Suqian Industrial Park, Suqian, Jiangsu, China",True
Catcher Technology Company Limited,"No. 398, RenAi Street, YungKang District, Tainan, Taiwan",True
Catcher Technology Company Limited,"No. 21 Gucheng Road, Suzhou-Suqian Industrial Park, Suqian, Jiangsu, China",True
Catcher Technology Company Limited,"East of Xiangtai Road, North of Haijun West Road, Economic Development Zone, Taizhou, Jiangsu, China",True
Cathay Tat Ming Precision Metal Products Company Limited,"Yuyuan 4 Road, Yuyuan Industrial Zone, Huangjiang Town, Dongguan, Guangdong, China",True
Cathay Tat Ming Precision Metal Products Company Limited,"No. 5 Furong 3rd Road, Xishan Economic Development Zone, Wuxi, Jiangsu, China",True
Cathay Tat Ming Precision Metal Products Company Limited,"No. 2, Section A, Baigong’ao Industrial Zone, Xikeng Xinwei Sector, Fumin, Guanlan, Bao'an, Shenzhen, Guangdong, China",True
CCL Design (Suzhou) Company Limited,"Carretera Guadalajara-Nogales No. 16445 Frente a Pinar de la Venta, Zapopan, Jalisco, Mexico",True
CCL Design (Suzhou) Company Limited,"A1-D, Industrial Complex, Anna Salai Maralmalai Nagar, Kancheepuram District, Chennai, Tamilnadu, India",True
CCL Design (Suzhou) Company Limited,"6 Redwood Crescent, Peel Park, East Kilbride, Scotland, United Kingdom",True
CCL Design (Suzhou) Company Limited,"6 and 13 Baihe Street, Suzhou, Jiangsu, China",True
CCL Design (Suzhou) Company Limited,"4 Redwood Crescent, Peel Park, East Kilbride, Scotland, United Kingdom",True
Cheng Loong Corporation,"No. 1 Tengfei 11 Road, Southwest Air Harbor Development Economic Zone, Chengdu, Sichuan, China",True
Cheng Loong Corporation,"No. 98 B Zone, Gui Lin Road, Kunshan, Jiangsu, China",True
Cheng Loong Corporation,"Dong Yie Street, Industry District, Houjie Town, Dongguan, Guangdong, China",True
Cheng Loong Corporation,"888 Fuyan Road, Weishi county, Kaifeng, Henan, China",True
Cheng Loong Corporation,"399 Xiupu Road, Kangqiao Industrial Zone, Nanhai District, Shanghai, China",True
Cheng Uei Precision Industry Company Limited (Foxlink),"No. 6, Zheng Wei Road, Jin Xi Town, Kunshan, Jiangsu, China",True
