supplier_name,supplier_address,supplier_address_is_internal_manufacturing_site
3M Company,"905 Adams Street, Hutchinson, Minnesota, USA",True
3M Company,"577 Keumeui-ri, Jangan-myon, Hwaseong, Gyeonggi-Do, Korea",True
3M Company,"1425 Stokke Parkway, Menomonie, Wisconsin, USA",True
3M Company,"235 Zhongyuan Road, Suzhou, Jiangsu, China",True
3M Company,"No. 312, Section 1, Huandong Road, Sinshih Township, Tainan, Taiwan",True
3M Company,"5500 Oaza Osanagi, Higashine, Yamagata, Japan",True
3M Company,"3406 E. Pleasant Street, Knoxville, Iowa, USA",True
3M Company,"1030 Lake Road, Medina, Ohio, USA",True
AAC Technologies Holdings Inc.,"Building 5, 6th floor, Nanyou Tianan Industry Park, Dengliang Road, NanShan District, Shenzhen, Guangdong, China",True
AAC Technologies Holdings Inc.,"No. 8 Fengqi Road, High Tech. Industry Development Area, Wujin District, Changzhou, Jiangsu, China",True
AAC Technologies Holdings Inc.,"No. 66 Yanghuxi Road, Wujin District, Changzhou, Jiangsu, China",True
"Advanced International Multitech Co., Ltd.","Building F, Pengjinghui Industrial Park, No. 52 Tenth Road, Long Yean Village, Humen Town, Dongguan, Guangdong, China",True
"Advanced International Multitech Co., Ltd.","No. 2 South 5th Road, K.E.P.Z. Kaohsiung, Taiwan",True
Advanced Semiconductor Engineering Inc.,"76 Saneopdanji-gil, Paju, Gyeonggi-Do, Korea",True
Advanced Semiconductor Engineering Inc.,"26 Chin 3rd Road, Nantze Export Processing Zone, Kaohsiung, Taiwan",True
Advanced Semiconductor Engineering Inc.,"1F, 550 Chung-Hwa Road, Section 1, Chungli, Taoyuan, Taiwan",True
Advanced Semiconductor Engineering Inc.,"1F, No. 115 Nei-Huan North Road, Nantze Export Processing Zone, Kaohsiung, Taiwan",True
Advanced Semiconductor Engineering Inc.,"No. 107 Neihuan N. Road, Nanzi District, Kaohsiung, Taiwan",True
Advanced Semiconductor Engineering Inc.,"73 Kai Fa Road, Nantze Export Processing Zone, Kaohsiung, Taiwan",True
Advanced Semiconductor Engineering Inc.,"No. 501 Longgui Road, Jinqiao Export Processing (South) Zone, Pudong New Area, Shanghai, China",True
Advanced Semiconductor Engineering Inc.,"No. 1558 Zhang Dong Road, Zhangjiang Hi-Tech Park, Shanghai, China",True
Advanced Semiconductor Engineering Inc.,"No. 188 Su Hong Xi Road, Suzhou Industrial Park, Suzhou, Jiangsu, China",True
"Alps Electric Co., Ltd.","136-1 Kitahara, Furukawatsukanome, Osaki, Miyagi, Japan",True
"Alps Electric Co., Ltd.","6-3-36 Furukawa Nakazato, Osaki, Miyagi, Japan",True
"Alps Electric Co., Ltd.","No. 5 Xingchuang 4 Road, Singapore Industrial Park, Wuxi, Jiangsu, China",True
"Alps Electric Co., Ltd.","P.T. 10643 Nilai Industrial Estate, Nilai, Negeri Sembilan, Malaysia",True
"Alps Electric Co., Ltd.","6-1 Nishida, Kakuda, Miyagi, Japan",True
"Alps Electric Co., Ltd.","1-3-5 Higashi Takami, Nagaoka, Niigata, Japan",True
"Alps Electric Co., Ltd.","230 Shibue, Wakuya-cho, Tohda-gun, Miyagi Prefecture, Tohda-gun, Miyagi, Japan",True
