supplier_name,supplier_address,supplier_address_is_internal_manufacturing_site
3M Co.,"1400 State Docks Rd., Decatur, Alabama, USA",True
3M Co.,"ACME Industrial Zone, Xiang Dong District, Da Ling Shan Town, Dongguan, Guangdong, China",True
3M Co.,"1400 Perimeter Rd., Greenville, South Carolina, USA",True
3M Co.,"5500 Oaza Osanagi, Higashine, Yamagata, Japan",True
3M Co.,"577 Keumeui-ri, Jangan-myon, Hwaseong, Gyeonggi-do, Korea",True
3M Co.,"1425 Stokke Parkway, Menomonie, Wisconsin, USA",True
3M Co.,"Room 807, Area B, Zhong Tian Yuan Logistics Centre, Tao Hua Rd., Futian Free Trade Zone, Shenzhen, Guangdong, China",True
3M Co.,"235, Zhongyuan Rd., Suzhou, Jiangsu, China",True
3M Co.,"No. 312, Section 1, Huan-Dong Rd., Sinshih Township, Tainan, Taiwan",True
AAC Technologies Holdings Inc.,"Gangqiao St., Nanxiashu Town, Wujin District, Changzhou, Jiangsu, China",True
AAC Technologies Holdings Inc.,"Building 5, 6F, Nanyou Tianan Industry Park, Dengliang Rd., NanShan District, Shenzhen, Guangdong, China",True
Acbel Polytech Inc.,"No. 17-28, Hongyeh Rd., Hongyeh Industrial District, Tangxia Town, Dongguan, Guangdong, China",True
ACON Group,"No. 888, Huayuan Rd., Zhangpu Town, Kunshan, Jiangsu, China",True
Advance Tech,"No. 8, Dongshan Avenue, Xukou Town, Wuzhong District, Suzhou, Jiangsu, China",True
Advanced Semiconductor Engineering Inc. (USI),"No. 1558, Zhang Dong Rd., Zhangjiang Hi-Tech Park, Shanghai, China",True
AKM Semiconductor Inc.,"4 Ren Der Rd., Hsinchu Industrial Park, Hisnchu, Taiwan",True
AKM Semiconductor Inc.,"13-2, Sekinoiri Sumie, Ishinomaki, Miyazaki, Japan",True
AKM Semiconductor Inc.,"1-15, Nakashima-cho, Nobeoka, Miyazaki, Japan",True
AKM Semiconductor Inc.,"5-4960, Nakagawara-cho, Nobeoka, Miyazaki, Japan",True
AKM Semiconductor Inc.,"No. 5 Nanke 7th Rd., Southern Taiwan Science Park, Tainan, Taiwan",True
Alcoa Inc.,"1480 Manheim Pike, Lancaster, Pennsylvania, USA",True
Alcoa Inc.,"No. 95, Beihuan Rd., Haigang District, Qinhuangdao, Hebei, China",True
Alps Electric Co. Ltd.,"Xinxing Industry Zone, Xingfa South St., Wushaliwu, Changan Town, Dongguan, Guangdong, China",True
Alps Electric Co. Ltd.,"41-25, Yanagi-machi, Noda Onahama, Iwaki, Fukushima, Japan",True
Alps Electric Co. Ltd.,"6-1 Nishida, Kakuda, Miyagi, Japan",True
Alps Electric Co. Ltd.,"P.T. 10643, Nilai Industrial Estate, Nilai, Negeri Sembilan, Malaysia",True
Alps Electric Co. Ltd.,"6-3-36, Furukawa Nakazato, Osaka, Japan",True
Alps Electric Co. Ltd.,"230, Shibue, Wakuya, Tohda-gun, Japan",True
Alps Electric Co. Ltd.,"No. 5, Xingchuang 4 Rd., Singapore Industrial Park, Wuxi, Jiangsu, China",True
Amphenol Corp.,"No. 98-5, Rd. 19, Hangzhou Economic and Technological Development Zone, Hangzhou, Zhejiang, China",True
