supplier_name,supplier_address,supplier_address_is_internal_manufacturing_site
3M Co.,"1030 Lake Road, Medina, Ohio, USA",True
3M Co.,"1400 Perimeter Road, Greenville, South Carolina, USA",True
3M Co.,"1400 State Docks Road, Decatur, Alabama, USA",True
3M Co.,"1425 Stokke Parkway, Menomonie, Wisconsin, USA",True
3M Co.,"235 Zhongyuan Road, Suzhou, Jiangsu, China",True
3M Co.,"3406 East Pleasant Street, Knoxville, Iowa, USA",True
3M Co.,"5500 Oaza Osanagi, Higashine, Yamagata, Japan",True
3M Co.,"577 Keumeui-ri, Jangan-myon, Hwaseong, Gyeonggi-Do, Korea",True
3M Co.,"905 Adams Street, Hutchinson, Minnesota, USA",True
3M Co.,"915 Adams Street, Hutchinson, Minnesota, USA",True
3M Co.,"No. 312, Section 1, Huan Dong Road, Sinshih Township, Tainan, Taiwan",True
AAC Technologies Holdings Inc.,"Nanyou Tianan Industry Park, Dengliang Road, Nanshan District, Shenzhen, Guangdong, China",True
AAC Technologies Holdings Inc.,"No. 8 Fengqi Road, High Technology Industry Development Area, Wujin District, Changzhou, Jiang- su, China",True
Acbel Polytech Inc.,"No. 17-28 Hongyeh Road, Hongyeh Industrial District, Tangxia Town, Dongguan, Guangdong, China",True
Advanced Semiconductor Engineering Inc.,"26 Chin Third Road, Nantze Export Processing Zone, Kaohsiung, Taiwan",True
Advanced Semiconductor Engineering Inc.,"No. 1558, Zhang Dong Road, Zhangjiang High Technology Park, Shanghai, China",True
Advanced Semiconductor Engineering Inc.,"No. 501, Longgui Road, Jinqiao Export Processing South Zone, Pudong New Area, Shanghai, China",True
AKM Semiconductor Inc.,"1-15, Nakashima-cho, Nobeoka, Miyazaki, Japan",True
AKM Semiconductor Inc.,"13-2 Sekinoiri Sumie, Ishinomaki, Miyazaki, Japan",True
AKM Semiconductor Inc.,"5-4960, Nakagawara-cho, Nobeoka, Miyazaki, Japan",True
AKM Semiconductor Inc.,"No. 112, Zhoghe Street, Zhubei City, Hisnchu, Taiwan",True
Alps Electric Co. Ltd.,"230, Shibue, Wakuya, Tohda-gun, Japan",True
Alps Electric Co. Ltd.,"41-25, Yanagi-machi, Noda Onahama, Iwaki, Fukushima, Japan",True
Alps Electric Co. Ltd.,"6-1 Nishida, Kakuda, Miyagi, Japan",True
Alps Electric Co. Ltd.,"6-3-36, Furukawa Nakazato, Osaka, Japan",True
Alps Electric Co. Ltd.,"No. 5, Xingchuang 4 Road, Singapore Industrial Park, Wuxi, Jiangsu, China",True
Alps Electric Co. Ltd.,"P.T. 10643, Nilai Industrial Estate, Nilai, Negeri Sembilan, Malaysia",True
Alps Electric Co. Ltd.,"Xinxing Industry Zone, Xingfa South Street, Wushaliwu, Changan Town, Dongguan, Guangdong, China",True
Amphenol Corp.,"Block AM2/AM3, The 4th Industrial District of Industrial Headquarters, Tangwei Community, Gong- ming Town, Guangming New District, Shenzhen, Guangdong, China",True
Amphenol Corp.,"No. 689 Shennan Road, Xin Zhuang Industry Park, Shanghai, China",True
Amphenol Corp.,"No. 98-5, Rd 19 Hangzhou Economic and Technological Development Zone, Hangzhou, Zhejiang, China",True
Analog Devices Inc.,"Bay F-1, Raheen Industrial Estate, Limerick, Ireland",True
Analog Devices Inc.,"Gateway Business Park, Javalera, General Trias, Cavite, Philippines",True
Analog Devices Inc.,"NW Parker Street, Camas, Washington, USA",True
Artesyn Embedded Technologies,"1st Building, Emerson Industrial Park, FengTang Road, Fuyong, Bao’an District, Shenzhen, Guang- dong, China",True
Artesyn Embedded Technologies,"Main Avenue Corner Road J, Cavite Export Processing Zone, Rosario, Cavite, Philippines",True
Artesyn Embedded Technologies,"No. 68, Baocheng E. Road, Fucheng Town, Luoding, YunFu, Guangdong, China",True
Asahi Glass Co Ltd.,"1-8 Machiikedai, Koriyama, Fukushima, Japan",True
Asahi Glass Co Ltd.,"3583-5 Kawashiri, Yoshida-cho, Haibara-gun, Shizuoka, Japan",True
Asahi Glass Co Ltd.,"5-6-1, Umei, Takasago, Hyogo, Japan",True
Asahi Glass Co Ltd.,"SAHA Group Industrial Park Lamphun 99/40 Moo 5, T. Pasak, Muang Lamphun, Lamphun, Thailand",True
Asia Vital Components Ltd.,"Lane 8, Rongjiang Road, Songjiang Export Processing Zone, Shanghai, China",True
Asia Vital Components Ltd.,"West Industry Park, Xinyang Industrial Zone, Shajing Town, Bao’an District, Shenzhen, Guangdong, China",True
AT&S,"No. 5000 Jindu Road, Shanghai, China",True
AU Optronics Corp.,"No. 398 Suhong Middle Road, Suzhou Industrial Park, Suzhou, Jiangsu, China",True
Austria Microsystems (AMS AG),"No. 2 Makiling Drive, Carmelray Industrial Park II, Brgy Milagrosa, Calamba, Laguna, Philippines",True
Austria Microsystems (AMS AG),"Tobelbaderstrasse 30, Unterpremstaetten, Styria, Austria",True
Avago Technologies Ltd.,"110 American Parkway NE, Allentown, Pennsylvania, USA",True
Avago Technologies Ltd.,"4380 Ziegler Road, Ft. Collins, Colorado, USA",True
Biel Crystal Manufactory Ltd.,"Biel Crystal Industrial Park, Tangjing Village, Baishi, Qiuchang Town, Huiyang District, Huizhou, Guangdong, China",True
Brilliant International Group Ltd.,"Building 1, Linyuan Investment Park, Intersection of Yanhe Road and Shenzhou Road, Xinzheng City, Zhengzhou, Henan, China",True
Brilliant International Group Ltd.,"Juwei Bridge, Gongming Street, No. 1 Industrial District, Guangming New District, Shenzhen, Guangdong, China",True
Broadway Industrial Group Ltd.,"Block 34, East Juhuang Industrial Park, Dasan Village, Dasan Community, Guanlan Community Office, Bao’an District, Shenzhen, Guangdong, China",True
Broadway Industrial Group Ltd.,"No. 8 Guxu Road, Pudong New District, Shanghai, China",True
Bumchun Precision Company Ltd.,"No. 675-3/688-12, Seonggok-dong, Danwon-gu, Ansan, Gyeonggi-Do, Korea",True
BYD Company Ltd.,"No. 1 Baoping Road, Baolong Industrial Town, Longgang District, Shenzhen, Guangdong, China",True
BYD Company Ltd.,"Xiangshui River, Economic Development Zone, Daya Bay, Huizhou, Guangdong, China",True
Career Technology (Mfg.) Co. Ltd.,"248 Bo’ai Street, Shulin District, Taipei, Taiwan",True
Career Technology (Mfg.) Co. Ltd.,"No. 18 Jin Sha Jiang South Road, Kunshan, Jiangsu, China",True
Catcher Technology Co. Ltd.,"No. 107 Changyang Street, Suzhou Industrial Park, Suzhou, Jiangsu, China",True
Catcher Technology Co. Ltd.,"No. 111 Changyang Street, Suzhou Industrial District, Suzhou, Jiangsu, China",True
Catcher Technology Co. Ltd.,"No. 21 Gucheng Road, Suzhou-Suqian Industrial Park, Suqian, Jiangsu, China",True
Catcher Technology Co. Ltd.,"No. 398 Ren’ai Street, Yungkang District, Tainan, Taiwan",True
