,company,address,country
103,"Compeq Manufacturing Co., Ltd."," No. 91 Lane 814, Ta Hsin Road, Shin Chuang Village, Lu Chu Hsiang, Taoyuan, Taiwan",Taiwan
104,Corning Inc.," 680 E. Office Street, Harrodsburg, Kentucky, USA",USA
105,Corning Inc.," 12117 Obuchi, Kakegawa, Shizuoka, Japan",Japan
106,Corning Inc.," No. 33 Section 2, HaunDong Road, Tainan Science Based Industrial Park, Tainan, Taiwan",Taiwan
107,Corning Inc.," 212, Tangjeong-ro, Tangjeong-myeon, Asan, Chungcheongnam-do, Korea",Korea
108,Cosmosupplylab Ltd.," Middle ZhongXin Road, Xian Sha Industry, Gaobu Town, Dongguan, Guangdong, China",China
109,Cosmosupplylab Ltd.," Bo Wang Industrial Park, Gaobu Town, Dongguan, Guangdong, China",China
110,Cowell E Holdings Inc.," No. 1 Songbo Road, Huanan Industrial Area, Liaobu Town, Dongguan, Guangdong, China",China
111,"Coxon Precise Industrial Co., Ltd."," West No. 3 Zhong Nan South Road, Hai Bin District, Shang Sha Village Changan Town, Dongguan, Guangdong, China",China
112,"Coxon Precise Industrial Co., Ltd."," 763 ZhenAnZhong Road, 6th Industrial District, ShangSha Villlage, Changan Town, Dongguan, Guangdong, China",China
113,"CymMetrik Enterprise Co., Ltd."," No. 168 Chuyang Road, Lujia Town, East part of Economic and Technical Development Zone, Kunshan, Jiangsu, China",China
114,"CymMetrik Enterprise Co., Ltd."," Xinhua Road, Xingwei Community, Fuyong Street, Baoan, Shenzhen, Guangdong, China",China
115,"CymMetrik Enterprise Co., Ltd."," 8th Factory, Industrial Park of Weishi County, Kaifeng, Henan, China",China
116,"Dai-Ichi Seiko Co., Ltd."," 12 Hokuryo-cho, Matsue, Shimane, Japan",Japan
117,"Dai-Ichi Seiko Co., Ltd."," 2455-1 Takata, Chikuzen-machi, Asakura-gun, Fukuoka, Japan",Japan
118,"Dai-Ichi Seiko Co., Ltd."," 55 Yishun Industrial Park A, Singapore",Singapore
119,"Dai-Ichi Seiko Co., Ltd."," 863 Mitsusawa, Ogori, Fukuoka, Japan",Japan
120,"Dai-Ichi Seiko Co., Ltd."," Block 2 Woodlands Sector 1, No. 01-24 Woodlands Spectrum 1, Singapore",Singapore
121,Daikin Industries Ltd.," 1-1 Nishi-Hitotsuya, Settsu, Osaka, Japan",Japan
122,Daikin Industries Ltd.," No. 8 Jinyu Road (West) Advanced Materials Industrial, Changshu, Jiangsu, China",China
123,Daikin Industries Ltd.," 21 Sunayama, Kamisu, Ibaraki, Japan",Japan
124,Darfon Electronics Corp.," 21 Industry 2nd Road, Tainan, Taiwan",Taiwan
125,Darfon Electronics Corp.," No. 99 Zhuyuan Road, New District, Suzhou, Jiangsu, China",China
126,Delta Group," No. 168 Jishi East Road & No. 688 Xiuhu West Road, Wujiang Economic & Technological Development Zone, Suzhou, Jiangsu, China",China
127,Delta Group," No. 688 Xiuhu West Road, Song Ling Town, Suzhou, Jiangsu, China",China
128,Delta Group," Chen Zhou Export Processing Zone, Bai Lu Tang Town, Su Xian District, Chenzhou, Hunan, China",China
129,Delta Group," Wellgrow Industrial Estate, 111 Moo 9, Soi 11, Bangna-Trad Road, Tambol Bangwua, Bang Pakong, Chachoengsao, Thailand",Thailand
130,Delta Group," 1688 Jiangxing East Road, Wujiang Economy Development Zone, Wujiang, Jiangsu, China",China
131,Dexerials Corp.," Ha-86 Akai-machi, Nomi, Ishikawa, Japan",Japan
132,Dexerials Corp.," 18 Satuki-cho, Kanuma-shi, Tochigi, Japan",Japan
133,Dexerials Corp.," 3-4-1 Sakuragi, Tagajo-shi, Miyagi, Japan",Japan
134,Dexerials Corp.," 1724 Shimotsuboyama, Shimotsuke-shi, Tochigi, Japan",Japan
135,Diodes Inc.," Waldweg 7, Neuhaus am Rennweg, Thuringia, Germany",Germany
136,Diodes Inc.," Zetex Technology Park, Chadderton, Oldham, United Kingdom",United Kingdom
137,Diodes Inc.," Plant No. 1, Lane 18, San Zhuang Road, Songjiang Export Zone, Shanghai, China",China
138,Diodes Inc.," No. 8 Kexin Road, Chengdu Hi-Tech Zone (West Park), Chengdu, Sichuan, China",China
139,Diodes Inc.," 777 N.W. Blue Parkway, Suite 350, Lees Summit, Missouri, USA",USA
140,Diodes Inc.," No. 999 Chenchun Road, Xinqiao Town, Songjiang District, Shanghai, China",China
141,"DSM Engineering Plastics Co., Ltd."," Urmonderbaan 22, Geleen, Netherlands",Netherlands
142,"DSM Engineering Plastics Co., Ltd."," Eerste Bokslootweg 17, Emmen, Netherlands",Netherlands
143,"DSM Engineering Plastics Co., Ltd."," No. 18 Pan Long Shan Road, Jiangyin, Jiangsu, China",China
144,Dynapack International Technology Corp.," No. 8 Hua-Gang Road, Wujiang Economic and Technological Development Zone, Suzhou, Jiangsu, China",China
145,Ellington Electronics Technology Group," 88 Gao Ping Chemical & Industrial Zone, San Jiao Town, Zhongshan, Guangdong, China",China
146,FIT Hon Teng Ltd.," 37 Street, Dinh Tram Industry Zone, Viet Yen, Bac Giang, Vietnam",Vietnam
147,FIT Hon Teng Ltd.," No. 168 Fushikang Road, Huaian Economic Development Zone, Huaian, Jiangsu, China",China
148,FIT Hon Teng Ltd.," No. 889 Fushikang Road, High Technology Industry Park, Kunshan Development Zone, Kunshan, Jiangsu, China",China
149,FIT Hon Teng Ltd.," Baoyuan Technology Area, DaShuiKeng, GuanLan Town, Longhua New Distict, Shenzhen, Guangdong, China",China
150,Flexium Interconnect Inc.," No. 23 Juguang 1st Sreet, Tafa Industrial Park, Daliao District, Kaohsiung, Taiwan",Taiwan
151,Flexium Interconnect Inc.," No. 1399, Hanpu Road, Hi-Tech Industrial Park, Kunshan, Jiangsu, China",China
152,Flextronics Sales and Marketing (A-P) Ltd.," 12455 Research Blvd., Austin, Texas, USA",USA
153,Flextronics Sales and Marketing (A-P) Ltd.," 6380 East Holmes Road, Memphis, Tennessee, USA",USA
154,Flextronics Sales and Marketing (A-P) Ltd.," Avenida Liberdade, 6315, Iporanga-Sorocaba, Sao Paulo, Brazil",Brazil
155,Flextronics Sales and Marketing (A-P) Ltd.," Plot No. 3 Phase III, SIPCOT Industrial Park, Sandavellur (Village), Sriperumbuthur, Kanchipuram, Tamilnadu, India",India
156,Flextronics Sales and Marketing (A-P) Ltd.," Flextronics Industrial Zone, Shi Da Road, Da Ling Shan, Dongguan, Guangdong, China",China
157,"Foster Electric Co., Ltd."," No. 1 Street 11, VSIP Bac Ninh, Tu Son, Bac Ninh, Vietnam",Vietnam
158,"Foster Electric Co., Ltd."," Street No. 1 Hoa Cam industrial zone, Cam Le district, Da Nang, Vietnam",Vietnam
159,"Foster Electric Co., Ltd."," No. 20, VSIP II street 5, Vietnam-Singapore Industrial Park II, Hoa Phu ward, Thu Dau Mot, Binh Duong, Vietnam",Vietnam
160,"Foster Electric Co., Ltd."," Building #7, No. 1 Zongbu Road, Nanning New High Technology Industrial Zone, Nanning, Guangxi, China",China
161,"Foster Electric Co., Ltd."," No. 8, 11 Ke Yuan Dong Road, Nanning New High Technology Industrial Zone, Nanning, Guangxi, China",China
162,Fujikura Ltd.," 101/2 Moo 20, Navanakorn Industrial Zone, Phaholyothin Road, Klongluang District, Khlong Luang, Pathum Thani, Thailand",Thailand
163,Fujikura Ltd.," Building 56A, No. 199 Riying North Road, Waigaoqiao Free Trade Zone, Shanghai, China",China
164,Fujikura Ltd.," 1/80 Moo 5, Rojana Industrial Park, Rojana Road, Tambol Kanham, Amphur U-Thai Pranakorn Sri, Ayutthaya, Thailand",Thailand
165,Fujikura Ltd.," 612/12, Moo 9, Kabinburi Industrial Zone, Cam Le district, Da Nang, Vietnam",Vietnam
166,Fujikura Ltd.," Northern Region Industrial Estate, 68/1 Moo 4 Tambol, Lamphun, Thailand",Thailand
167,Fujikura Ltd.," Build A-B, No. 1411 Yecheng Road, Jiading Industrial Zone, Shanghai, China",China
168,Fujikura Ltd.," 14 Matsuyama-cho, Moka, Tochigi, Japan",Japan
169,Fujikura Ltd.," 55/25 Moo 13, Navanakorn Industrial Estate, Paholyothin Road, Klong Nueng, Khlong Luang, Pathum Thani, Thailand",Thailand
170,Garuda International Ltd.," Building A1-A3, Pengding Plant, Songluo Road, Yanchuan Community, Yanluo Street, Baoan District, Shenzhen, Guangdong, China",China
171,Garuda International Ltd.," No. 18 Tengfei Road, Economic and Technological Development Zone, Qinhuangdao, Hebei, China",China
172,Garuda International Ltd.," No. 11 Honghai North Road, Huaian Economic Development Zone, Huaian, Jiangsu, China",China
173,"Genius Electronic Optical Co., Ltd."," No. 8 Chuangxin Road, Torch Hi-tech Indsl Zone, Xiamen, Fujian, China",China
174,GoerTek Inc.," No. 268 Dongfang Road, High-Tech Industrial Development Zone, Weifang, Shandong, China",China
175,GoerTek Inc.," West Changan South Road and North Tengfei Road, Yishui County, Linyi, Shandong, China",China
176,GoerTek Inc.," Lot K-08, Que Vo industrial park, Nam Son commune, Bac Ninh, Vietnam",Vietnam
177,"Hama Naka Shoukin Industry Co., Ltd."," No. 1 Gaoding Road, Kunshan Development Zone, Kunshan, Jiangsu, China",China
178,"HengMingDa Wrapper Co., Ltd."," No. 1568 Taji Road, Shipai Town, Kunshan, Jiangsu, China",China
179,Henkel Corp.," No. 90 Zhu Jiang Road , Yantai Economic Technological Development Zone, Yantai, Shandong, China",China
180,Henkel Corp.," 167 Batchelder Road, Seabrook, New Hampshire, USA",USA
181,Henkel Corp.," 301 Washington Street, Cannon Falls, Minnesota, USA",USA
182,Henkel Corp.," No. 524, Anji East Road, Sanzao Town, Jin Wan Qu, Zhuhai, Guangdong, China",China
183,HI-P International Ltd.," No. 77 Jinwen Road, Zhuqiao Airport Industrial Zone, Pudong New Area, Shanghai, China",China
184,HI-P International Ltd.," No. 96 and No. 102, Jinwen Road, Zhuqiao Airport Industrial Zone, Pudong New Area, Shanghai, China",China
185,HI-P International Ltd.," No. 38 Jinliang Road, Pudong, Shanghai, China",China
186,HI-P International Ltd.," Blk 3 and 4, No. 955 Jinhai Road, Shanghai, China",China
187,HI-P International Ltd.," No. 86 Liu Feng Road, Wu Zhong District, Suzhou, Jiangsu, China",China
188,"Hirose Electric Co., Ltd."," 1261-10 Jeongwang-Dong, Siheung, Gyeonggi-Do, Korea",Korea
189,"Hirose Electric Co., Ltd."," 2-31-1 Toyomane, Yamadacho, Shimoheigun, Miyako, Iwate, Japan",Japan
190,"Hirose Electric Co., Ltd."," 21-2 Kubota Dai-2 Chiwariaza Akamae, Miyako, Iwate, Japan",Japan
191,"Hirose Electric Co., Ltd."," 509-36 Soejima, Fuchumachi, Toyama, Japan",Japan
192,"Hirose Electric Co., Ltd."," 3215 Shimoizawa, Fuchumachi, Toyama, Japan",Japan
193,"Hirose Electric Co., Ltd."," 46-3 Aza Nishi, Niida, Tagajo-shi, Miyagi, Japan",Japan
194,"Hirose Electric Co., Ltd."," 55-1 Jiwari, Tagusari, Miyako, Iwate, Japan",Japan
195,"Hirose Electric Co., Ltd."," 63-25 Nishiura Aisaricho, Kitakami, Iwate, Japan",Japan
196,"Hirose Electric Co., Ltd."," 191-1 Oaza Urushikawa Aza Tamatsubaki, Goshogawara, Aomori, Japan",Japan
197,"Hon Hai Precision Industry Co., Ltd."," No. 1925 NanLe Road, Songjiang Export Processing Zone,  Shanghai, China",China
